VUOSI,KK,VUOSI.DEC,Saaresmaki,Paltaniemi,Kaarakkala,Saviaho
2015,12,2016,109.3,97.9,84.1,95.7
2015,11,2015.9166666667,88.8,54.3,86.3,66.4
2015,10,2015.8333333333,54.1,54.5,43.5,39
2015,9,2015.75,114.2,93.3,86.7,42.8
2015,8,2015.6666666667,61.9,51.4,65.8,70
2015,7,2015.5833333333,97,89.8,155.8,115.8
2015,6,2015.5,172.7,117.3,150.1,99.3
2015,5,2015.4166666667,72.3,56,64.7,62.9
2015,4,2015.3333333333,34.5,34.3,43.2,46.3
2015,3,2015.25,61.4,39,55.4,48.7
2015,2,2015.1666666667,29.9,26.1,36.5,41.3
2015,1,2015.0833333333,95.5,61.6,91.5,72.8
2014,12,2015,74.3,58.7,66.7,70.7
2014,11,2014.9166666667,104.6,80.7,84.9,81.8
2014,10,2014.8333333333,85.3,74.8,75.5,59
2014,9,2014.75,45.6,37.2,26.7,41.3
2014,8,2014.6666666667,88.3,39.2,91.7,100.1
2014,7,2014.5833333333,66.2,58.1,58.6,69.7
2014,6,2014.5,52.2,46.2,33.9,51.8
2014,5,2014.4166666667,112.1,75,109.5,124.7
2014,4,2014.3333333333,18.1,16.9,18.3,25.6
2014,3,2014.25,40.3,26.7,42,40.3
2014,2,2014.1666666667,52,25,40.9,35
2014,1,2014.0833333333,21.1,14.7,18.2,14.5
2013,12,2014,141.2,110.5,144,119.6
2013,11,2013.9166666667,92.1,65.1,89.9,86.1
2013,10,2013.8333333333,76.7,54.3,79.2,59.9
2013,9,2013.75,48.9,35.1,39.9,43.9
2013,8,2013.6666666667,69.4,61.7,81.7,84.4
2013,7,2013.5833333333,134,84.5,123.3,57.8
2013,6,2013.5,85.8,52.5,88.8,56.1
2013,5,2013.4166666667,52.1,47.2,53,53.4
2013,4,2013.3333333333,44.6,33.6,44.6,41.2
2013,3,2013.25,20.8,19.3,23.8,23.3
2013,2,2013.1666666667,31,21.9,26.8,20.4
2013,1,2013.0833333333,54.8,39.8,45.1,40.6
2012,12,2013,34.3,18.2,NA,29.1
2012,11,2012.9166666667,60,47.9,NA,53.6
2012,10,2012.8333333333,109.2,68.2,86.2,68.9
2012,9,2012.75,83.4,49.3,78.3,72.5
2012,8,2012.6666666667,125.2,141.2,107.6,131.5
2012,7,2012.5833333333,163.4,111.8,116.1,130.2
2012,6,2012.5,132.7,111.3,116,113.9
2012,5,2012.4166666667,92.7,73.3,70.1,87.5
2012,4,2012.3333333333,65.6,48.3,57.8,60.4
2012,3,2012.25,33.7,24.9,35.2,28.3
2012,2,2012.1666666667,72.1,31.3,55.2,43.1
2012,1,2012.0833333333,40.9,27.4,37.2,42.8
2011,12,2012,106.4,53.8,86.4,80.6
2011,11,2011.9166666667,33.5,18.3,23.8,21.6
2011,10,2011.8333333333,84.6,55.5,72.1,56.2
2011,9,2011.75,88.3,65.8,109.9,93.4
2011,8,2011.6666666667,95.3,85.4,100.2,81.4
2011,7,2011.5833333333,113.5,133.7,157.3,109.3
2011,6,2011.5,71.3,86,63.7,95
2011,5,2011.4166666667,57.2,40.9,47.4,44.4
2011,4,2011.3333333333,20.9,17.2,26.4,16.8
2011,3,2011.25,31.7,22.8,30.3,28.4
2011,2,2011.1666666667,25.8,16.7,25.2,19.9
2011,1,2011.0833333333,79.3,52.1,74.9,65.3
2010,12,2011,22,19.7,20.1,22.1
2010,11,2010.9166666667,36.9,35.9,34.4,43.6
2010,10,2010.8333333333,43.8,25.6,36.9,29.5
2010,9,2010.75,100.8,108.7,93.2,87.3
2010,8,2010.6666666667,112.1,107.7,88.6,54.2
2010,7,2010.5833333333,69.3,89.7,36.5,78.1
2010,6,2010.5,91.1,79.6,93.2,80
2010,5,2010.4166666667,58.5,53.3,55.1,64.7
2010,4,2010.3333333333,46.5,28.3,39.3,28.3
2010,3,2010.25,76.1,54.6,70.9,68
2010,2,2010.1666666667,51.5,37.8,56.7,52.7
2010,1,2010.0833333333,21.5,10.9,16.8,17
2009,12,2010,36.7,20.9,31.9,30.6
2009,11,2009.9166666667,65.7,42.4,61.3,59.3
2009,10,2009.8333333333,42.1,33.4,45.4,43.7
2009,9,2009.75,48.3,71.8,39.9,80.5
2009,8,2009.6666666667,101.6,80.4,79.9,48.7
2009,7,2009.5833333333,107.7,78.7,68.4,110.1
2009,6,2009.5,43.8,43.6,38.9,56.5
2009,5,2009.4166666667,41.4,54.4,48,26.7
2009,4,2009.3333333333,25.6,20.3,23.1,13.1
2009,3,2009.25,19,12.4,15.5,14.7
2009,2,2009.1666666667,34.1,19.9,27,29.3
2009,1,2009.0833333333,41.1,32.5,39,39.6
2008,12,2009,65.7,42,58.6,45.6
2008,11,2008.9166666667,80.3,55.3,72,76.5
2008,10,2008.8333333333,119.9,95.6,106.1,121.2
2008,9,2008.75,39.7,46.9,29.1,26.4
2008,8,2008.6666666667,67.9,68.2,56.7,97.2
2008,7,2008.5833333333,137.6,78.5,130.9,79.6
2008,6,2008.5,98.6,55.9,123.6,55.9
2008,5,2008.4166666667,17.7,17.8,13.6,29.3
2008,4,2008.3333333333,56.1,37.8,57.7,42.2
2008,3,2008.25,54.8,46.5,56.5,54.5
2008,2,2008.1666666667,54.2,35,50.3,45.2
2008,1,2008.0833333333,107.6,65.2,90.1,76.5
2007,12,2008,86.8,58.6,80.8,67.4
2007,11,2007.9166666667,68.7,35.1,67.8,57.9
2007,10,2007.8333333333,70.1,64.7,98.8,52.7
2007,9,2007.75,75.1,83,80.5,91.4
2007,8,2007.6666666667,71.6,36.4,76.4,59.8
2007,7,2007.5833333333,148,170.3,168.3,149.9
2007,6,2007.5,71.2,58.3,51.1,58.3
2007,5,2007.4166666667,93.4,72.4,94.5,119.4
2007,4,2007.3333333333,34.3,27.5,34.1,35.9
2007,3,2007.25,42.7,28.8,44.2,38.3
2007,2,2007.1666666667,26.5,15.3,26.6,16.7
2007,1,2007.0833333333,74.1,44.5,59.6,61.5
2006,12,2007,104,84.3,97.9,93.7
2006,11,2006.9166666667,53.1,43.5,57.5,37.1
2006,10,2006.8333333333,102.2,78.3,108.7,89.7
2006,9,2006.75,74.6,79.8,91.3,91.1
2006,8,2006.6666666667,22.3,15.5,23.8,22.2
2006,7,2006.5833333333,27.6,16.9,29.9,26.3
2006,6,2006.5,29.3,22.5,20.9,69.4
2006,5,2006.4166666667,64.2,76.2,66.3,72.5
2006,4,2006.3333333333,38.5,26.3,51.3,46
2006,3,2006.25,21.2,17,19.4,23.9
2006,2,2006.1666666667,17.6,18.5,16.9,14
2006,1,2006.0833333333,35.8,32.8,41.1,31.7
2005,12,2006,61.6,37.8,57.4,50.9
2005,11,2005.9166666667,97.9,84.7,107.1,97.9
2005,10,2005.8333333333,20.3,13.1,12.9,20.2
2005,9,2005.75,88.1,71.7,68.4,71.7
2005,8,2005.6666666667,92.2,74.3,92.2,62.3
2005,7,2005.5833333333,43.6,69.5,51.2,72.7
2005,6,2005.5,62.5,44.2,49.8,48.4
2005,5,2005.4166666667,89,94.7,81.7,88.9
2005,4,2005.3333333333,23.4,14.3,19.8,25.7
2005,3,2005.25,4.4,7.7,4.6,7
2005,2,2005.1666666667,21.6,14.5,22.6,19
2005,1,2005.0833333333,99.3,59.6,98,82.5
2004,12,2005,60.7,36.1,62.3,53.8
2004,11,2004.9166666667,51.7,37.6,50.3,52.7
2004,10,2004.8333333333,34.1,30.3,29.9,30.8
2004,9,2004.75,100.8,92.3,110.1,96.4
2004,8,2004.6666666667,106.3,112.4,134.1,149.2
2004,7,2004.5833333333,119.9,159.7,154.5,174.6
2004,6,2004.5,78.9,45.9,84.8,66.8
2004,5,2004.4166666667,108.7,90.7,133.6,107.7
2004,4,2004.3333333333,11,10.9,16.9,11.9
2004,3,2004.25,24.5,19.1,27.3,23.8
2004,2,2004.1666666667,50.1,50.3,47.7,45.4
2004,1,2004.0833333333,39.5,32.3,39.8,40.9
2003,12,2004,77.1,52.9,71.9,68.2
2003,11,2003.9166666667,49.9,35.4,58.4,43.4
2003,10,2003.8333333333,61.1,51.6,77.9,76.1
2003,9,2003.75,47.9,35.3,48.6,42
2003,8,2003.6666666667,98.3,85.6,79.2,68.6
2003,7,2003.5833333333,112.9,69.5,95.3,112.2
2003,6,2003.5,33.1,29.5,55.7,37.9
2003,5,2003.4166666667,85.4,82.1,87.3,101
2003,4,2003.3333333333,17.9,11.6,20.5,14.6
2003,3,2003.25,30.4,30,31.5,29.2
2003,2,2003.1666666667,13.3,16.1,17.4,22.7
2003,1,2003.0833333333,57.1,51.1,51.9,46.6
2002,12,2003,21.7,25.6,16.8,28.3
2002,11,2002.9166666667,36.1,27.4,45.2,41.9
2002,10,2002.8333333333,15.1,9.4,15,19.2
2002,9,2002.75,79.4,49.5,45.9,39.3
2002,8,2002.6666666667,23.9,57.9,52.4,43.8
2002,7,2002.5833333333,97.8,95.1,82.2,97.8
2002,6,2002.5,89.9,58.6,71.9,121
2002,5,2002.4166666667,53.7,63.3,31.8,44
2002,4,2002.3333333333,32.8,8.6,16.3,10.1
2002,3,2002.25,41.2,24.8,40.8,35.3
2002,2,2002.1666666667,58,32.2,53.2,47.8
2002,1,2002.0833333333,56.8,55.6,73,57.7
2001,12,2002,21.5,10.1,23.1,15.9
2001,11,2001.9166666667,38.6,21.2,34.6,28.6
2001,10,2001.8333333333,87.5,76.1,98.2,61.9
2001,9,2001.75,59.9,61.4,71.7,55.8
2001,8,2001.6666666667,32.2,27.3,43.1,25.1
2001,7,2001.5833333333,47.1,68.9,65.1,74.7
2001,6,2001.5,73.5,48.4,56.4,89.4
2001,5,2001.4166666667,77.5,52.5,77.1,72.1
2001,4,2001.3333333333,44.9,34.9,45,40.9
2001,3,2001.25,30.2,33.6,36,32.4
2001,2,2001.1666666667,66.3,44.5,73,68.6
2001,1,2001.0833333333,28.9,18.3,26.8,21.4
2000,12,2001,52.2,48.4,54.6,43.4
2000,11,2000.9166666667,97.7,58,95.6,65.9
2000,10,2000.8333333333,67.6,46.6,63,51.7
2000,9,2000.75,37.7,82.3,44.2,39.4
2000,8,2000.6666666667,86.2,47,61.6,83.4
2000,7,2000.5833333333,75.9,90.1,67.6,113.4
2000,6,2000.5,168.5,25.4,114.7,96.6
2000,5,2000.4166666667,53.9,26.2,48,19.7
2000,4,2000.3333333333,57.2,29.6,47.7,40.9
2000,3,2000.25,49,32,61.5,48.8
2000,2,2000.1666666667,59.5,24.7,51,55.1
2000,1,2000.0833333333,54.4,51.5,50.6,51.3
1999,12,2000,77.3,46.7,90.4,78.6
1999,11,1999.9166666667,76.1,40.6,56.9,71.7
1999,10,1999.8333333333,76.1,51.8,54.5,57.5
1999,9,1999.75,45.3,38.7,44.7,44.1
1999,8,1999.6666666667,30.6,75,,36.3
1999,7,1999.5833333333,78,28,64.1,57.4
1999,6,1999.5,32.9,46.9,,78.3
1999,5,1999.4166666667,72.7,21.5,65.5,55.8
1999,4,1999.3333333333,20.1,20.6,30.3,28.1
1999,3,1999.25,42.5,25.4,38.2,20.7
1999,2,1999.1666666667,47,24.8,49.2,47.8
1999,1,1999.0833333333,40.2,35.6,35.7,28.1
1998,12,1999,60,18.8,54,47.2
1998,11,1998.9166666667,31.7,97,20.1,10.9
1998,10,1998.8333333333,103.7,33.4,96.5,104.6
1998,9,1998.75,48.1,105,56.4,46.7
1998,8,1998.6666666667,93.7,66.8,110.8,101.1
1998,7,1998.5833333333,108.7,53.9,125,97.4
1998,6,1998.5,98.5,53.2,87.5,91
1998,5,1998.4166666667,60.6,8.7,65,68.3
1998,4,1998.3333333333,11.4,16.4,15.6,5.9
1998,3,1998.25,38.9,41.4,32.3,27.3
